theta	energy	px	py	pz	P	x	y	z	r
0.004285719936679943	188.46685198126474	-0.7993393295480403	-0.11592948473622944	188.46246818058697	188.46419897616616	-0.21340420538907318	-0.03095035944908159	50.314906049326964	50.31536812974965
0.003297983105083839	216.87101134909636	-0.6254161706436114	0.346995317251865	216.8675264128846	216.86870581893527	-0.18903064993395285	0.10487856474298893	65.54772868314069	65.5480851560027
0.0020459913277856754	221.62573966703118	-0.23254393925223757	0.389269333576516	221.62301973319677	221.62348359990796	-0.0398603181660295	0.06672459208583263	37.98836515751702	37.98844466883327
0.0027442853499923306	138.29936731388872	0.034465512684185524	-0.3779543344156596	138.2952311617123	138.29575192109812	0.012211713418034884	-0.13391560599375502	49.00033681502823	49.00052132887653
0.0027521877988372244	187.2419018848166	0.34491933785759615	0.3828604641832492	187.23852239846002	187.2392315233196	0.13468031623565163	0.14949515069409378	73.11084256613066	73.11111945742046
0.000704238969751844	273.2480940268909	0.13683822385011385	0.13529544040964314	273.2461964232492	273.24626418183396	0.021943432305572615	0.021696030936016627	43.817869344288326	43.81788021008207
0.0021641240844008105	238.67625631916016	0.06371076160779489	0.5125757996291201	238.67360251506224	238.67416142207233	0.011922417508542905	0.09592010099602882	44.663825476926	44.66393006714835
0.0030163946748181167	163.16115233286013	-0.2994471906200297	0.39056557456539787	163.1573455916061	163.15808784913725	-0.07733116931715293	0.10086216709407209	42.13480277159019	42.134994456951134
0.0016873552842107374	268.73383743916423	0.22202379177088055	0.395371732606384	268.73159429328007	268.7319768557124	0.0438628393183139	0.07810931720422805	53.090394710511504	53.090470289233785
0.002850131126109301	212.3604592907517	0.5752415484134366	-0.18820692985033577	212.35724227228874	212.35810479042001	0.1508927254857174	-0.049368924547858746	55.70383980690221	55.704066055704935
0.0027750073951901357	163.96147517341151	-0.4087219688690741	-0.19989481917804494	163.95779435407965	163.95842564821498	-0.2003740105864388	-0.09799748891644787	80.37953260143271	80.37984209039438
0.004181552668746113	222.1567638884963	0.788036750586778	-0.49187664555108274	222.1525709886212	222.15451321413457	0.27496014381201617	-0.17162457600840608	77.51301296767883	77.51369064496492
0.014495540485724712	66.57446592653092	-0.18303248445792267	-0.9473712105517609	66.5599616909586	66.56695511590436	-0.12514391592556673	-0.6477415387477143	45.5087208947172	45.51350247535321
0.000990015529921579	205.10031409048398	0.19718509055551772	-0.048449588760484524	205.09777573316728	205.09787624452667	0.047886626999390725	-0.01176603859202008	49.808231734303625	49.808256143603344
0.0014646835868999176	159.44688910594232	-0.1028367401306977	0.20967355074165087	159.44358220753088	159.44375323468356	-0.021009993482984626	0.04283721877062229	32.57501763306059	32.57505257465207
0.0009797846387441672	268.8158591594016	0.23792285230678423	-0.11296737336266846	268.8138701159152	268.81399914365926	0.052504044581699306	-0.024929274131528602	59.32097435746274	59.32100283088746
0.002869153976083479	170.43942353849195	-0.4888845711230218	0.010980210367329766	170.43578839975055	170.4364899196573	-0.13745481572758278	0.003087196614170945	47.919736624246696	47.91993386362631
0.0066750611261153035	110.45946853576822	-0.7096800045877112	0.19986972297993508	110.45248116538303	110.45494189579917	-0.33326851156373166	0.0938596052496584	51.868918045525724	51.87007361417334
0.005718113500460556	146.53784306869824	-0.4494457234237596	0.7071549694942847	146.5320353425054	146.53443094108098	-0.1302651874335038	0.20495839618625886	42.470140562239	42.470834891011535
0.002402463902812607	374.8908349554481	-0.47507967577591803	0.7651689122397305	374.8884193322467	374.8895012314869	-0.05318518052275372	0.08566067715147675	41.9687670820921	41.968888200736686
0.0022117367758616286	342.42899367893955	-0.43804299034893923	-0.6178275811194452	342.4266959794312	342.4275335190954	-0.10189384780045668	-0.1437138155489297	79.65239579600981	79.65259061738796
0.001810461810033637	227.6888723392616	0.03920443396907139	-0.4103492814154725	227.68630319719313	227.68667634959354	0.006507541444471746	-0.06811385053096428	37.79363465783484	37.79369659737751
0.008096436875893969	102.88885155066862	-0.5430832896719013	-0.6316042737353922	102.88061970068708	102.88399182290472	-0.3755962343432863	-0.43681731940870194	71.15220460903285	71.15453676771048
0.00579689808133466	146.3041121662313	0.6259213597382206	0.5722511763804864	146.29823644798918	146.3006945873778	0.3180700792806893	0.2907968776076498	74.34335151159965	74.34460064709894
0.008159790295110426	74.44983637695096	0.1963556923279149	0.5748216326473675	74.44064186375276	74.4431201425274	0.20044865524790229	0.5868035803064312	75.99232994203663	75.99485987963007
0.003789923581273223	229.3055541970926	0.17037405832066868	-0.8521757562659354	229.30172689013148	229.30337369004357	0.04179283053958504	-0.20903908331239412	56.24781324582034	56.248217206554365
0.006460782666443713	132.5147894685161	-0.8251456177937082	0.22819797580012285	132.50825064228425	132.51101625104664	-0.3599783423021029	0.09955373606039164	57.80810002372986	57.80930654926459
0.0027299405340045963	334.10994123787236	0.8808989735433952	-0.2365045121681434	334.10719973773183	334.1084447211332	0.17122881615210958	-0.04597165946315913	64.94363371643774	64.9438757158501
0.0017956620441630057	260.74630816618446	-0.3354479233586435	0.32664038414670904	260.7439702141643	260.7443905864416	-0.05545865736467579	0.05400253179236635	43.108063866450415	43.10813336541127
0.006171048466373756	87.12100931718297	-0.47605922931654804	-0.24973925376465106	87.11361123475477	87.11526998434132	-0.20376354715160241	-0.10689374992926032	37.286491548253025	37.28720152860584
0.00311818951150995	164.04291225234547	0.39633475246039557	-0.32335386196139076	164.03906675324225	164.03986424107623	0.08537296596170257	-0.06965242911312308	35.33503326512714	35.33520504895705
